old_size,old_sizeh,new_size,new_sizeh,dif,idx
13704,13.38 KB,37002,36.13 KB,23298,372
11599,11.33 KB,30502,29.79 KB,18903,373
27672,27.02 KB,81339,79.43 KB,53667,374
18074,17.65 KB,39015,38.1 KB,20941,375
24817,24.24 KB,37258,36.38 KB,12441,376
11784,11.51 KB,32408,31.65 KB,20624,377
12457,12.17 KB,30758,30.04 KB,18301,378
12483,12.19 KB,32346,31.59 KB,19863,379
16403,16.02 KB,64459,62.95 KB,48056,380
10343,10.1 KB,23341,22.79 KB,12998,381
9428,9.21 KB,76855,75.05 KB,67427,382
16482,16.1 KB,37011,36.14 KB,20529,383
18859,18.42 KB,39159,38.24 KB,20300,384
9016,8.8 KB,25466,24.87 KB,16450,385
9329,9.11 KB,-1,-1,-9329,386
16054,15.68 KB,35972,35.13 KB,19918,387
25106,24.52 KB,48474,47.34 KB,23368,388
35488,34.66 KB,123147,120.26 KB,87659,389
16921,16.52 KB,42237,41.25 KB,25316,390
19804,19.34 KB,90799,88.67 KB,70995,391
10988,10.73 KB,28122,27.46 KB,17134,392
17566,17.15 KB,42491,41.5 KB,24925,393
119631,116.83 KB,123297,120.41 KB,3666,394
18901,18.46 KB,38925,38.01 KB,20024,395
72119,70.43 KB,93186,91 KB,21067,396
21485,20.98 KB,-1,-1,-21485,397
22447,21.92 KB,50926,49.73 KB,28479,398
21915,21.4 KB,38447,37.55 KB,16532,399
30116,29.41 KB,-1,-1,-30116,400
17518,17.11 KB,33254,32.47 KB,15736,401
10492,10.25 KB,75968,74.19 KB,65476,402
28044,27.39 KB,153815,150.21 KB,125771,403
16667,16.28 KB,55737,54.43 KB,39070,404
9143,8.93 KB,22676,22.14 KB,13533,405
24356,23.79 KB,42330,41.34 KB,17974,406
12485,12.19 KB,27877,27.22 KB,15392,407
19369,18.92 KB,104721,102.27 KB,85352,408
22009,21.49 KB,52927,51.69 KB,30918,409
15841,15.47 KB,33790,33 KB,17949,410
15553,15.19 KB,41088,40.12 KB,25535,411
10357,10.11 KB,25514,24.92 KB,15157,412
13932,13.61 KB,35861,35.02 KB,21929,413
